NAME, DIM1[Y], DIM3[Y], DIM5[Y], DIM6[Y], ORDER, WEIGHT, ID, 
1/4''x1/8'', 0 1/4", 0 3/8", -0 1/16", 0 1/8", 30530, 0.008, ADSK_30100721, 
3/8''x1/4'', 0 3/8", 0 3/8", -0 1/16", 0 1/4", 30532, 0.011, ADSK_30100722, 
1/2''x3/8'', 0 1/2", 0 9/16", -0 3/16", 0 3/8", 30536, 0.019, ADSK_30100723, 
1/2''x1/4'', 0 1/2", 0 1/2", -0 1/16", 0 1/4", 30538, 0.034, ADSK_30100724, 
5/8''x1/2'', 0 5/8", 0 5/8", -0 1/8", 0 1/2", 30542, 0.028, ADSK_30100725, 
5/8''x3/8'', 0 5/8", 0 5/8", -0 3/16", 0 3/8", 30544, 0.054, ADSK_30100726, 
3/4''x5/8'', 0 3/4", 0 3/4", -0 1/8", 0 5/8", 30548, 0.040, ADSK_30100727, 
3/4''x1/2'', 0 3/4", 0 3/4", -0 1/8", 0 1/2", 30550, 0.070, ADSK_30100728, 
1''x3/4'', 1", 0 29/32", -0 5/32", 0 3/4", 30556, 0.115, ADSK_30100729, 
1''x1/2'', 1", 0 29/32", -0 1/8", 0 1/2", 30560, 0.211, ADSK_30100730, 
1-1/4''x1'', 1 1/4", 0 31/32", -0 1/16", 1", 30564, 0.146, ADSK_30100731, 
1-1/2''x1-1/4'', 1 1/2", 1 3/32", -0 1/8", 1 1/4", 30570, 0.199, ADSK_30100732, 
2''x1-1/2'', 2", 1 11/32", -0 1/4", 1 1/2", 30580, 0.648, ADSK_30100733, 
